-34487.84062515	92424.91993340	0	1
-34487.82481710	92425.21951662	0	1
-34487.80900905	92425.51909984	0	1
-34487.79320100	92425.81868306	0	1
-34487.77739295	92426.11826628	0	1
-34487.76158490	92426.41784950	0	1
-34487.74577685	92426.71743272	0	1
-34487.72996880	92427.01701594	0	1
-34487.71416076	92427.31659916	0	1
-34487.69835270	92427.61618238	0	1
-34487.68254465	92427.91576560	0	1
-34487.66673661	92428.21534882	0	1
-34487.69931466	92428.51336179	0	1
-34487.84633171	92428.77333929	0	1
-34487.99974569	92429.03114571	0	1
-34488.14655693	92429.29271541	0	1
-34488.18173918	92429.57437331	0	1
-34488.13236681	92429.87028270	0	1
-34488.08299444	92430.16619210	0	1
-34488.03362206	92430.46210149	0	1
-34487.97886654	92430.75700555	0	1
-34487.91743408	92431.05064725	0	1
-34487.85984072	92431.34501083	0	1
-34487.83481166	92431.64218139	0	1
-34487.85090437	92431.94174945	0	1
-34487.86493848	92432.24140970	0	1
-34487.83798744	92432.53630954	0	1
-34487.75084127	92432.82337320	0	1
-34487.66369510	92433.11043686	0	1
-34487.55955777	92433.38931476	0	1
-34487.38938036	92433.63637679	0	1
-34487.16105303	92433.83015234	0	1
-34486.92975626	92434.02120678	0	1
-34486.69845948	92434.21226123	0	1
-34486.71616509	92434.44187611	0	1
-34486.90156992	92434.67571598	0	1
-34487.11225316	92434.88928698	0	1
-34487.32293639	92435.10285799	0	1
-34487.44287368	92435.37189974	0	1
-34487.51093853	92435.66364017	0	1
-34487.56982748	92435.95780354	0	1
-34487.62871643	92436.25196692	0	1
-34487.71675811	92436.53808240	0	1
-34487.83608862	92436.81292799	0	1
-34487.96532121	92437.08366575	0	1
-34488.09455381	92437.35440351	0	1
-34488.21266471	92437.62977586	0	1
-34488.31266113	92437.91261392	0	1
-34488.39304887	92438.20041517	0	1
-34488.42730658	92438.49824392	0	1
-34488.44473850	92438.79773704	0	1
-34488.46217040	92439.09723016	0	1
-34488.43114435	92439.38596716	0	1
-34488.27360516	92439.63610907	0	1
-34488.02214033	92439.79971054	0	1
-34487.79463645	92439.98291711	0	1
-34487.69999404	92440.26198388	0	1
-34487.80392774	92440.54340489	0	1
-34487.90786143	92440.82482591	0	1
-34488.01179512	92441.10624692	0	1
